縣市,管編,公司名稱,地址,製程代碼,製程名稱,類別,類別,類別,有效期限
新北市,F0600433,同院鑄造工廠股份有限公司,新北市新莊區頭前里化成路三二五巷一七號,,,,,,
新北市,F0600433,同院鑄造工廠股份有限公司,新北市新莊區頭前里化成路三二五巷一七號,M01,鋼鑄造程序,操作,操作,操作,119/08/26
新北市,F0600684,台灣銘板股份有限公司,新北市新莊區西盛里新樹路二○六巷一五號,,,,,,
新北市,F0600684,台灣銘板股份有限公司,新北市新莊區西盛里新樹路二○六巷一五號,M01,網版印刷作業程序,操作,操作,操作,116/12/19
新北市,F0601118,遠東乾燥股份有限公司,新北市新莊區西盛里新樹路三三三巷七號,,,,,,
新北市,F0601118,遠東乾燥股份有限公司,新北市新莊區西盛里新樹路三三三巷七號,M01,飼料製造程序,操作,操作,操作,119/02/17
新北市,F0601145,新錏企業股份有限公司,新北市新莊區丹鳳里壽山路一七八號一樓,,,,,,
新北市,F0601145,新錏企業股份有限公司,新北市新莊區丹鳳里壽山路一七八號一樓,M01,其他金屬二級熔煉製造程序,操作,操作,操作,116/05/08
新北市,F0601341,良府鑄造有限公司,新北市新莊區西盛里環漢路三段 五二六號,,,,,,
新北市,F0601341,良府鑄造有限公司,新北市新莊區西盛里環漢路三段 五二六號,M01,鋁鑄造製造程序,操作,操作,操作,116/03/18
新北市,F0601707,廣達香食品股份有限公司,新北市新莊區頭前里化成路三八二巷一八號,,,,,,
新北市,F0601707,廣達香食品股份有限公司,新北市新莊區頭前里化成路三八二巷一八號,M01,鍋爐蒸氣產生程序,操作,操作,操作,119/01/20
新北市,F0601734,亞力電機股份有限公司新莊廠,新北市新莊區西盛里瓊林南路三一七號、新樹路六四五號,,,,,,
新北市,F0601734,亞力電機股份有限公司新莊廠,新北市新莊區西盛里瓊林南路三一七號、新樹路六四五號,M01,鋁鑄造製造程序,操作,操作,操作,116/01/04
新北市,F0601752,華新麗華股份有限公司新莊一廠,新北市新莊區西盛里新樹路三九七號,,,,,,
新北市,F0601752,華新麗華股份有限公司新莊一廠,新北市新莊區西盛里新樹路三九七號,M04,鍋爐蒸氣產生程序,操作,操作,操作,119/03/28
新北市,F0601752,華新麗華股份有限公司新莊一廠,新北市新莊區西盛里新樹路三九七號,M05,塑膠電線電纜製造程序,操作,操作,操作,117/07/22
