county,ems_no,company_name,address,process_id,process_name,category,permit_no,effective_date,expiry_date
新北市,F0900045,東周化學工業股份有限公司,新北市三峽區添福里添福五九之三號,M01,油漆化學製造程序,操作,新北市環操證字第F0386-08號,114/10/13,117/10/12
新北市,F0900125,合興電線電纜股份有限公司,新北市三峽區溪北里介壽路三段一二四、一二四之二號一、二、三樓,M02,金屬線製品製造程序,操作,新北市環操證字第F1395-04號,111/08/09,116/06/20
新北市,F0900198,榮達鑄造有限公司,新北市三峽區二鬮里中正路三段一七六號,M01,灰鐵鑄造程序,操作,新北市環操證字第F1180-08號,113/08/16,117/10/28
新北市,F0900385,福華電子股份有限公司三峽廠,新北市三峽區中正里中正路一段三九三號,M01,其他被動電子元件製造程序,操作,新北市環操證字第F1671-03號,115/01/17,120/01/16
新北市,F0900410,大同股份有限公司三峽廠,新北市三峽區溪東里溪東路三五二號,M01,灰鐵鑄造程序,操作,新北市環操證字第F0046-13號,113/09/12,116/03/13
新北市,F0900410,大同股份有限公司三峽廠,新北市三峽區溪東里溪東路三五二號,M41,鋁鑄造製造程序,操作,新北市環操證字第F0694-09號,113/06/12,118/06/10
新北市,F0900410,大同股份有限公司三峽廠,新北市三峽區溪東里溪東路三五二號,M42,金屬噴磨（噴砂）處理程序,操作,新北市環操證字第F0695-09號,113/06/12,118/06/10
新北市,F0900410,大同股份有限公司三峽廠,新北市三峽區溪東里溪東路三五二號,M59,金屬表面塗裝程序,操作,新北市環操證字第F1966-07號,114/06/06,119/03/02
新北市,F0900410,大同股份有限公司三峽廠,新北市三峽區溪東里溪東路三五二號,M61,金屬表面塗裝程序,操作,新北市環操證字第F0747-10號,113/03/14,116/01/03
新北市,F0900410,大同股份有限公司三峽廠,新北市三峽區溪東里溪東路三五二號,M65,鋁鑄造製造程序,操作,新北市環操證字第F0751-08號,113/03/14,116/10/30
新北市,F0900429,承德油脂股份有限公司,新北市三峽區添福里添福一二、一二之一號,M04,其他酯類化學製造程序,操作及燃料,"新北市環操證字第F1619-06號
											(新北市燃使證字第F013-02號)",114/08/19,119/08/18
新北市,F0900670,德侑股份有限公司,新北市三峽區溪東路三三八巷一、三六號,M02,布疋貼合加工程序,操作,新北市環操證字第F1965-02號,111/01/15,116/01/14
新北市,F0900670,德侑股份有限公司,新北市三峽區溪東路三三八巷一、三六號,M03,印染整理程序,操作,新北市環操證字第F2008-03號,112/09/11,117/09/10
新北市,F0900741,國家中山科學研究院系統製造中心,新北市三峽區中正路三段一號,M02,鍋爐蒸氣產生程序,操作,新北市環操證字第F1072-07號,113/04/03,117/03/03
新北市,F0900929,銀隆化工股份有限公司三峽廠,新北市三峽區成福里成福路一○五巷九號,M01,界面活性劑化學製造程序,操作,新北市環操證字第F1865-04號,114/11/03,118/03/10
新北市,F0900983,裕成工業股份有限公司第一工廠,新北市三峽區介壽路三段二三五巷五號,M01,混凝土拌合程序,操作,新北市環操證字第F0773-08號,114/03/08,119/03/07
新北市,F0901159,松益化工股份有限公司,新北市三峽區添福里添福四八之一號,M01,鍋爐蒸氣產生程序,操作,新北市環操證字第F0027-10號,112/10/14,117/10/13
