ems_no,county,company_name,address,process_id,process_name,category,permit_no,effective_date,expiry_date
F1300085,新北市,奇鈺精密鑄造股份有限公司,新北市土城區沛陂里中山路一九號,M01,M01 - 鋼鑄造程序; M02 - 金屬噴磨（噴砂）處理程序,操作,新北市環操證字第F0990-05號; 新北市環操證字第F0991-06號,,115/11/18
F1300165,新北市,凌宇化工股份有限公司,新北市土城區沛陂里大同街一九號,M02,M02 - 化粧品製造程序,操作,新北市環操證字第F1985-02號,,116/11/08
F1300209,新北市,上豐實業有限公司,新北市土城區大暖路一一二號,M01,M01 - 其他合成樹脂或塑膠製造程序,操作,新北市環操證字第F2161-00號,,117/03/29
F1300218,新北市,巨豐企業股份有限公司,新北市土城區頂埔里大暖路七三號,M01,M01 - 其他電線及電纜（含光纖電纜）製造程序,操作,新北市環操證字第F0531-10號,,119/12/25
F1300405,新北市,新美光股份有限公司,新北市土城區沛陂里中山路五六號,M01,M01 - 印刷油墨化學原料製造程序,操作,新北市環操證字第F1407-07號,,115/05/08
F1300718,新北市,昇龍工業股份有限公司一廠,新北市土城區沛陂里民族街三號,M01,M01 - 接著劑化學製造程序,操作,新北市環操證字第F1218-04號,,115/07/18
F1300898,新北市,喜可工業股份有限公司,新北市土城區沛陂里自強街二五、二五之一號五樓,M01,M01 - 鍋爐蒸氣產生程序,操作,新北市環操證字第F2138-00號,,116/11/03
F1300996,新北市,東泰保麗龍有限公司,新北市土城區忠義路七二號,M02,M02 - 鍋爐蒸氣產生程序,操作,新北市環操證字第F0474-07號,,116/03/04
F1301019,新北市,鴻運瀝青化學股份有限公司,新北市土城區承天路一四號,M01,M01 - 瀝青混凝土製造程序,操作,新北市環操證字第F0084-07號,,119/05/03
F1301117,新北市,菲力工業股份有限公司第二工廠,新北市土城區沛陂里復興街二○、二二、二四號,M01,M01 - 自行車表面塗裝程序,操作,新北市環操證字第F0964-07號,,119/08/26
F1302196,新北市,長豐紡織科技股份有限公司,新北市土城區沛陂里德安街二號及二之一號,M01,M01 - 印染整理程序; M02 - 鍋爐蒸氣產生程序,操作,新北市環操證字第F1144-09號; 新北市環操證字第F1145-09號,,118/10/02
F1302212,新北市,興邦印染廠股份有限公司,新北市土城區沛陂里福安街一一四號,M01,M01 - 鍋爐蒸氣產生程序; M02 - 印染整理程序,操作,新北市環操證字第F0514-07號; 新北市環操證字第F0515-07號,,119/06/08
F1302258,新北市,廣銘企業股份有限公司,新北市土城區沛陂里中山路三○號、三二號,M01,M01 - 印染整理程序; M02 - 鍋爐蒸氣產生程序,操作,新北市環操證字第F0565-10號; 新北市環操證字第F0566-08號,,119/11/03
F1302310,新北市,信綺絲織廠股份有限公司,新北市土城區頂埔里大暖路六五、六七、六九號,M01,M01 - 印染整理程序; M03 - 熱媒加熱程序; M04 - 鍋爐蒸氣產生程序,操作,新北市環操證字第F1396-05號; 新北市環操證字第F1398-07號; 新北市環操證字第F1663-04號,,116/04/09
F1302418,新北市,欣成紙器股份有限公司,新北市土城區沛陂里中山路六一號,M01,M01 - 鍋爐蒸氣產生程序,操作,新北市環操證字第F1451-06號,,119/01/13
F1302427,新北市,祥琪紙器股份有限公司土城廠,新北市土城區大安里承天路二七號,M01,M01 - 鍋爐蒸氣產生程序,操作,新北市環操證字第F0530-07號,,119/06/14
F1302436,新北市,七星化學製藥股份有限公司,新北市土城區沛陂里福安街七五號,M01,M01 - 鍋爐蒸氣產生程序; M02 - 其他生物藥品製造程序,操作,新北市環操證字第F1268-06號; 新北市環操證字第F1269-07號,,118/08/10
F1302552,新北市,福鎂工業股份有限公司,新北市土城區大安里亞洲路一一巷三弄二六號,M01,M01 - 其他金屬表面處理程序,操作,新北市環操證字第F1067-06號,,115/08/14
F1302678,新北市,堅順股份有限公司,新北市土城區日新街四七之三號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F1230-07號,,119/06/29
F1302865,新北市,燿華電子股份有限公司,新北市土城區沛陂里中山路六二號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F0322-14號,,117/09/08
F1302963,新北市,立大化成工業股份有限公司,新北市土城區沛陂里民生街一五號,M02,M02 - 原料藥製造程序,操作,新北市環操證字第F1378-08號,,115/05/24
F1303175,新北市,亞東預拌混凝土股份有限公司土城廠,新北市土城區大安里中華路二段二○八號,M01,M01 - 混凝土拌合程序; M02 - 堆置場作業程序,操作,新北市環操證字第F0218-14號; 新北市環操證字第F1567-11號,,119/04/22
F1303193,新北市,集琳實業有限公司,新北市土城區日和里中央路一段三六五巷三二號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F1317-07號,,116/11/08
F1303380,新北市,淂剴工業有限公司,新北市土城區埤塘里忠承路一一號,M01,M01 - 其他金屬加工處理程序,操作,新北市環操證字第F1987-04號,,116/12/26
F1303540,新北市,清松塗料有限公司,新北市土城區員林里中央路一段三六五巷一八弄八號,M01,M01 - 塗料製造程序,操作,新北市環操證字第F0155-08號,,119/10/31
F1303568,新北市,國泰塗料油墨股份有限公司,新北市土城區廷寮里永豐路一九五巷二四號,M01,M01 - 塗料製造程序,操作,新北市環操證字第F0589-07號,,118/12/21
F1304109,新北市,益誠實業股份有限公司,新北市土城區頂埔里大暖路一一六號,M01,M01 - 其他合成樹脂或塑膠製造程序,操作,新北市環操證字第F0096-08號,,115/12/28
F1304136,新北市,麗德精密工業股份有限公司自強二廠,新北市土城區沛陂里自強街二五號四樓、二五之一號四樓,M01,M01 - 金屬電鍍處理程序,操作,新北市環操證字第F0247-06號,,119/05/03
F1304529,新北市,永豐紙業股份有限公司,新北市土城區日和里中央路一段三四一號一樓及三六五巷七號四、五、六樓,M01,M01 - 平版印刷作業程序,操作,新北市環操證字第F1158-05號,,116/02/18
F1304556,新北市,力群電子股份有限公司,新北市土城區沛陂里福安街一二○號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F1348-07號,,118/06/02
F1304789,新北市,燿華電子股份有限公司土城二廠,新北市土城區中山路四巷三號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F1109-15號,,118/09/16
F1305017,新北市,國產建材實業股份有限公司土城廠,新北市土城區大安里中華路二段二○二號,M01,M01 - 混凝土拌合程序,操作,新北市環操證字第F1274-09號,,116/03/23
F1305053,新北市,沈氏藝術印刷股份有限公司土城廠,新北市土城區日和里中央路一段三六五巷七號三樓,M01,M01 - 平版印刷作業程序,操作,新北市環操證字第F1043-10號,,119/07/20
F1305339,新北市,沈氏藝術印刷股份有限公司二廠,新北市土城區日和里中央路一段三六五巷七號地下二層,M01,M01 - 平版印刷作業程序,操作,新北市環操證字第F1265-08號,,115/05/21
